Botanical Name,Street,Latitude,Longitude
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82835851,-78.82760213
VACANT,PARK AVE SOUTH,42.82835924,-78.82879055
VACANT,PARK AVE SOUTH,42.82836057,-78.82879062
ACER PLATANOIDES,PARK AVE SOUTH,42.82836281,-78.83086464
VACANT,PARK AVE SOUTH,42.82836554,-78.82947902
ACER SACCHARINUM,PARK AVE SOUTH,42.82836566,-78.83013865
RHAMNUS CATHARTICA,PARK AVE SOUTH,42.82837316,-78.82893367
GYMNOCLADUS DIOICUS,PARK AVE SOUTH,42.82837869,-78.83126791
CARYA GLABRA,PARK AVE SOUTH,42.82837878,-78.82696752
SALIX DISCOLOR,PARK AVE SOUTH,42.82838542,-78.82684342
VACANT,PARK AVE SOUTH,42.82839055,-78.82943144
ACER PLATANOIDES,PARK AVE SOUTH,42.8283908,-78.83098969
PRUNUS SEROTINA,PARK AVE SOUTH,42.82839455,-78.82706743
LIQUIDAMBAR STRYACIFLUA,PARK AVE SOUTH,42.82839644,-78.82454527
LIRIODENDRON TULIPIFERA,PARK AVE SOUTH,42.82839737,-78.8271904
AILANTHUS ALTISSIMA,PARK AVE SOUTH,42.82840158,-78.82929694
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82840189,-78.82762249
CORNUS SPP,PARK AVE SOUTH,42.82840546,-78.82941908
GYMNOCLADUS DIOICUS,PARK AVE SOUTH,42.82841241,-78.83135017
VACANT,PARK AVE SOUTH,42.82841302,-78.82760523
ACER PLATANOIDES,PARK AVE SOUTH,42.82841701,-78.82989495
ACER PLATANOIDES,PARK AVE SOUTH,42.82841953,-78.83341103
STUMP,PARK AVE SOUTH,42.82842041,-78.8332314
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82842336,-78.8275802
GINKGO BILOBA,PARK AVE SOUTH,42.82842626,-78.8245904
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82843031,-78.82758514
JUGLANS NIGRA,PARK AVE SOUTH,42.82843037,-78.82688722
CARYA GLABRA,PARK AVE SOUTH,42.82843124,-78.82889893
QUERCUS PALUSTRIS,PARK AVE SOUTH,42.82843142,-78.82979799
LIRIODENDRON TULIPIFERA,PARK AVE SOUTH,42.82843358,-78.82722503
VACANT,PARK AVE SOUTH,42.82844791,-78.82708953
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82844933,-78.82936102
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82844947,-78.82697803
VACANT,PARK AVE SOUTH,42.82845257,-78.82752669999999
QUERCUS MACROCARPA,PARK AVE SOUTH,42.82845328,-78.82886599
JUGLANS NIGRA,PARK AVE SOUTH,42.82845375,-78.82919969
ACER PLATANOIDES,PARK AVE SOUTH,42.82845456,-78.83086049
VACANT,PARK AVE SOUTH,42.82846096,-78.83124762
VACANT,PARK AVE SOUTH,42.82846153,-78.83124808
VACANT,PARK AVE SOUTH,42.82847018,-78.82900476
VACANT,PARK AVE SOUTH,42.82847169,-78.82749603
FRAXINUS PENNSYLVANICA,PARK AVE SOUTH,42.82847171,-78.82695456
VACANT,PARK AVE SOUTH,42.828494,-78.82913207
VACANT,PARK AVE SOUTH,42.82849611,-78.83410872
